Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1020
,,ICD 10 - WHO:M5091,"Cervical disc disorder, unsp, occipito-atlanto-axial region (M5091)","Cervical disc disorder, unsp, occipito-atlanto-axial region (M5091)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5092,"Cervical disc disorder, unspecified, mid-cervical region (M5092)","Cervical disc disorder, unspecified, mid-cervical region (M5092)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5093,"Cervical disc disorder, unspecified, cervicothoracic region (M5093)","Cervical disc disorder, unspecified, cervicothoracic region (M5093)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5104,"Intervertebral disc disorders w myelopathy, thoracic region (M5104)","Intervertebral disc disorders w myelopathy, thoracic region (M5104)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5105,"Intvrt disc disorders w myelopathy, thoracolumbar region (M5105)","Intvrt disc disorders w myelopathy, thoracolumbar region (M5105)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5106,"Intervertebral disc disorders with myelopathy, lumbar region (M5106)","Intervertebral disc disorders with myelopathy, lumbar region (M5106)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5107,"Intvrt disc disorders w myelopathy, lumbosacral region (M5107)","Intvrt disc disorders w myelopathy, lumbosacral region (M5107)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5124,"Other intervertebral disc displacement, thoracic region (M5124)","Other intervertebral disc displacement, thoracic region (M5124)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5125,"Other intervertebral disc displacement, thoracolumbar region (M5125)","Other intervertebral disc displacement, thoracolumbar region (M5125)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5126,"Other intervertebral disc displacement, lumbar region (M5126)","Other intervertebral disc displacement, lumbar region (M5126)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5127,"Other intervertebral disc displacement, lumbosacral region (M5127)","Other intervertebral disc displacement, lumbosacral region (M5127)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5134,"Other intervertebral disc degeneration, thoracic region (M5134)","Other intervertebral disc degeneration, thoracic region (M5134)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5135,"Other intervertebral disc degeneration, thoracolumbar region (M5135)","Other intervertebral disc degeneration, thoracolumbar region (M5135)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5144,"Schmorl's nodes, thoracic region (M5144)","Schmorl's nodes, thoracic region (M5144)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5145,"Schmorl's nodes, thoracolumbar region (M5145)","Schmorl's nodes, thoracolumbar region (M5145)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5146,"Schmorl's nodes, lumbar region (M5146)","Schmorl's nodes, lumbar region (M5146)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:M5147,"Schmorl's nodes, lumbosacral region (M5147)","Schmorl's nodes, lumbosacral region (M5147)",,Diagnosis,N/A,,,,
