Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:5070
,,ICD 10 - WHO:O99344,Other mental disorders complicating childbirth (O99344),Other mental disorders complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99345,Other mental disorders complicating the puerperium (O99345),Other mental disorders complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99350,"Diseases of the nervous sys comp pregnancy, unsp trimester (O99350)","Diseases of the nervous sys comp pregnancy, unsp trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99351,"Diseases of the nervous sys comp pregnancy, first trimester (O99351)","Diseases of the nervous sys comp pregnancy, first trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99352,"Diseases of the nervous sys comp pregnancy, second trimester (O99352)","Diseases of the nervous sys comp pregnancy, second trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99353,"Diseases of the nervous sys comp pregnancy, third trimester (O99353)","Diseases of the nervous sys comp pregnancy, third trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99354,Diseases of the nervous system complicating childbirth (O99354),Diseases of the nervous system complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99355,Diseases of the nervous system complicating the puerperium (O99355),Diseases of the nervous system complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99411,"Diseases of the circ sys comp pregnancy, first trimester (O99411)","Diseases of the circ sys comp pregnancy, first trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99412,"Diseases of the circ sys comp pregnancy, second trimester (O99412)","Diseases of the circ sys comp pregnancy, second trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99413,"Diseases of the circ sys comp pregnancy, third trimester (O99413)","Diseases of the circ sys comp pregnancy, third trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99419,"Diseases of the circ sys comp pregnancy, unsp trimester (O99419)","Diseases of the circ sys comp pregnancy, unsp trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9942,Diseases of the circulatory system complicating childbirth (O9942),Diseases of the circulatory system complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9943,Diseases of the circ sys complicating the puerperium (O9943),Diseases of the circ sys complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99511,"Diseases of the resp sys comp pregnancy, first trimester (O99511)","Diseases of the resp sys comp pregnancy, first trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99512,"Diseases of the resp sys comp pregnancy, second trimester (O99512)","Diseases of the resp sys comp pregnancy, second trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99513,"Diseases of the resp sys comp pregnancy, third trimester (O99513)","Diseases of the resp sys comp pregnancy, third trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99519,"Diseases of the resp sys comp pregnancy, unsp trimester (O99519)","Diseases of the resp sys comp pregnancy, unsp trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9952,Diseases of the respiratory system complicating childbirth (O9952),Diseases of the respiratory system complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9953,Diseases of the resp sys complicating the puerperium (O9953),Diseases of the resp sys complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99611,"Diseases of the dgstv sys comp pregnancy, first trimester (O99611)","Diseases of the dgstv sys comp pregnancy, first trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99612,"Diseases of the dgstv sys comp pregnancy, second trimester (O99612)","Diseases of the dgstv sys comp pregnancy, second trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99613,"Diseases of the dgstv sys comp pregnancy, third trimester (O99613)","Diseases of the dgstv sys comp pregnancy, third trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99619,"Diseases of the dgstv sys comp pregnancy, unsp trimester (O99619)","Diseases of the dgstv sys comp pregnancy, unsp trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9962,Diseases of the digestive system complicating childbirth (O9962),Diseases of the digestive system complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9963,Diseases of the digestive system complicating the puerperium (O9963),Diseases of the digestive system complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99711,"Diseases of the skin, subcu comp pregnancy, first trimester (O99711)","Diseases of the skin, subcu comp pregnancy, first trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99712,"Diseases of the skin, subcu comp pregnancy, second trimester (O99712)","Diseases of the skin, subcu comp pregnancy, second trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99713,"Diseases of the skin, subcu comp pregnancy, third trimester (O99713)","Diseases of the skin, subcu comp pregnancy, third trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99719,"Diseases of the skin, subcu comp pregnancy, unsp trimester (O99719)","Diseases of the skin, subcu comp pregnancy, unsp trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9972,"Diseases of the skin, subcu complicating childbirth (O9972)","Diseases of the skin, subcu complicating childbirth",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9973,"Diseases of the skin, subcu complicating the puerperium (O9973)","Diseases of the skin, subcu complicating the puerperium",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99810,Abnormal glucose complicating pregnancy (O99810),Abnormal glucose complicating pregnancy,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99814,Abnormal glucose complicating childbirth (O99814),Abnormal glucose complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99815,Abnormal glucose complicating the puerperium (O99815),Abnormal glucose complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99820,Streptococcus B carrier state complicating pregnancy (O99820),Streptococcus B carrier state complicating pregnancy,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99824,Streptococcus B carrier state complicating childbirth (O99824),Streptococcus B carrier state complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99825,Streptococcus B carrier state complicating the puerperium (O99825),Streptococcus B carrier state complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99830,Other infection carrier state complicating pregnancy (O99830),Other infection carrier state complicating pregnancy,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99834,Other infection carrier state complicating childbirth (O99834),Other infection carrier state complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99835,Other infection carrier state complicating the puerperium (O99835),Other infection carrier state complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99840,"Bariatric surgery status comp pregnancy, unsp trimester (O99840)","Bariatric surgery status comp pregnancy, unsp trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99841,"Bariatric surgery status comp pregnancy, first trimester (O99841)","Bariatric surgery status comp pregnancy, first trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99842,"Bariatric surgery status comp pregnancy, second trimester (O99842)","Bariatric surgery status comp pregnancy, second trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99843,"Bariatric surgery status comp pregnancy, third trimester (O99843)","Bariatric surgery status comp pregnancy, third trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99844,Bariatric surgery status complicating childbirth (O99844),Bariatric surgery status complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O99845,Bariatric surgery status complicating the puerperium (O99845),Bariatric surgery status complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9989,Oth diseases and conditions compl preg/chldbrth (O9989),Oth diseases and conditions compl preg/chldbrth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A111,"Malignant neoplasm complicating pregnancy, first trimester (O9A111)","Malignant neoplasm complicating pregnancy, first trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A112,"Malignant neoplasm complicating pregnancy, second trimester (O9A112)","Malignant neoplasm complicating pregnancy, second trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A113,"Malignant neoplasm complicating pregnancy, third trimester (O9A113)","Malignant neoplasm complicating pregnancy, third trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A119,"Malignant neoplasm complicating pregnancy, unsp trimester (O9A119)","Malignant neoplasm complicating pregnancy, unsp trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A12,Malignant neoplasm complicating childbirth (O9A12),Malignant neoplasm complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A13,Malignant neoplasm complicating the puerperium (O9A13),Malignant neoplasm complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A211,"Inj/poisn/oth conseq of external causes comp preg, first tri (O9A211)","Inj/poisn/oth conseq of external causes comp preg, first tri",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A212,"Inj/poisn/oth conseq of extrn causes comp preg, second tri (O9A212)","Inj/poisn/oth conseq of extrn causes comp preg, second tri",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A213,"Inj/poisn/oth conseq of external causes comp preg, third tri (O9A213)","Inj/poisn/oth conseq of external causes comp preg, third tri",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A219,"Inj/poisn/oth conseq of external causes comp preg, unsp tri (O9A219)","Inj/poisn/oth conseq of external causes comp preg, unsp tri",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A22,Inj/poisn/oth conseq of external causes comp childbirth (O9A22),Inj/poisn/oth conseq of external causes comp childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A23,Inj/poisn/oth conseq of external causes comp the puerperium (O9A23),Inj/poisn/oth conseq of external causes comp the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A311,"Physical abuse complicating pregnancy, first trimester (O9A311)","Physical abuse complicating pregnancy, first trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A312,"Physical abuse complicating pregnancy, second trimester (O9A312)","Physical abuse complicating pregnancy, second trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A313,"Physical abuse complicating pregnancy, third trimester (O9A313)","Physical abuse complicating pregnancy, third trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A319,"Physical abuse complicating pregnancy, unspecified trimester (O9A319)","Physical abuse complicating pregnancy, unspecified trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A32,Physical abuse complicating childbirth (O9A32),Physical abuse complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A33,Physical abuse complicating the puerperium (O9A33),Physical abuse complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A411,"Sexual abuse complicating pregnancy, first trimester (O9A411)","Sexual abuse complicating pregnancy, first trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A412,"Sexual abuse complicating pregnancy, second trimester (O9A412)","Sexual abuse complicating pregnancy, second trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A413,"Sexual abuse complicating pregnancy, third trimester (O9A413)","Sexual abuse complicating pregnancy, third trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A419,"Sexual abuse complicating pregnancy, unspecified trimester (O9A419)","Sexual abuse complicating pregnancy, unspecified trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A42,Sexual abuse complicating childbirth (O9A42),Sexual abuse complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A43,Sexual abuse complicating the puerperium (O9A43),Sexual abuse complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A511,"Psychological abuse complicating pregnancy, first trimester (O9A511)","Psychological abuse complicating pregnancy, first trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A512,"Psychological abuse complicating pregnancy, second trimester (O9A512)","Psychological abuse complicating pregnancy, second trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A513,"Psychological abuse complicating pregnancy, third trimester (O9A513)","Psychological abuse complicating pregnancy, third trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A519,"Psychological abuse complicating pregnancy, unsp trimester (O9A519)","Psychological abuse complicating pregnancy, unsp trimester",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A52,Psychological abuse complicating childbirth (O9A52),Psychological abuse complicating childbirth,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O9A53,Psychological abuse complicating the puerperium (O9A53),Psychological abuse complicating the puerperium,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:T8331XA,"Breakdown (mechanical) of intrauterine contracep dev, init (T8331XA)","Breakdown (mechanical) of intrauterine contracep dev, init",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:T8332XA,"Displacement of intrauterine contraceptive device, init (T8332XA)","Displacement of intrauterine contraceptive device, init",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:T8339XA,"Mech compl of intrauterine contraceptive device, init encntr (T8339XA)","Mech compl of intrauterine contraceptive device, init encntr",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:Z0371,Encntr for susp prob w amnio cavity and membrane ruled out (Z0371),Encntr for susp prob w amnio cavity and membrane ruled out,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:Z0372,Encounter for suspected placental problem ruled out (Z0372),Encounter for suspected placental problem ruled out,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:Z0373,Encounter for suspected fetal anomaly ruled out (Z0373),Encounter for suspected fetal anomaly ruled out,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:Z0374,Encounter for suspected problem with fetal growth ruled out (Z0374),Encounter for suspected problem with fetal growth ruled out,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:Z0375,Encounter for suspected cervical shortening ruled out (Z0375),Encounter for suspected cervical shortening ruled out,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:Z0379,Encntr for oth suspected maternal and fetal cond ruled out (Z0379),Encntr for oth suspected maternal and fetal cond ruled out,,Diagnosis,N/A,,,,
