Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1040
,,ICD 10 - WHO:O2342,"Unsp infct of urinary tract in pregnancy, second trimester (O2342)","Unsp infct of urinary tract in pregnancy, second trimester (O2342)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O2343,"Unsp infct of urinary tract in pregnancy, third trimester (O2343)","Unsp infct of urinary tract in pregnancy, third trimester (O2343)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23511,"Infections of cervix in pregnancy, first trimester (O23511)","Infections of cervix in pregnancy, first trimester (O23511)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23512,"Infections of cervix in pregnancy, second trimester (O23512)","Infections of cervix in pregnancy, second trimester (O23512)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23513,"Infections of cervix in pregnancy, third trimester (O23513)","Infections of cervix in pregnancy, third trimester (O23513)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23519,"Infections of cervix in pregnancy, unspecified trimester (O23519)","Infections of cervix in pregnancy, unspecified trimester (O23519)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23521,"Salpingo-oophoritis in pregnancy, first trimester (O23521)","Salpingo-oophoritis in pregnancy, first trimester (O23521)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23522,"Salpingo-oophoritis in pregnancy, second trimester (O23522)","Salpingo-oophoritis in pregnancy, second trimester (O23522)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23523,"Salpingo-oophoritis in pregnancy, third trimester (O23523)","Salpingo-oophoritis in pregnancy, third trimester (O23523)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23529,"Salpingo-oophoritis in pregnancy, unspecified trimester (O23529)","Salpingo-oophoritis in pregnancy, unspecified trimester (O23529)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23591,"Infection oth prt genitl trct in pregnancy, first trimester (O23591)","Infection oth prt genitl trct in pregnancy, first trimester (O23591)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23592,"Infection oth prt genitl trct in pregnancy, second trimester (O23592)","Infection oth prt genitl trct in pregnancy, second trimester (O23592)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23593,"Infection oth prt genitl trct in pregnancy, third trimester (O23593)","Infection oth prt genitl trct in pregnancy, third trimester (O23593)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O23599,"Infection oth prt genital tract in pregnancy, unsp trimester (O23599)","Infection oth prt genital tract in pregnancy, unsp trimester (O23599)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O2390,"Unsp GU tract infection in pregnancy, unsp trimester (O2390)","Unsp GU tract infection in pregnancy, unsp trimester (O2390)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O2391,"Unsp GU tract infection in pregnancy, first trimester (O2391)","Unsp GU tract infection in pregnancy, first trimester (O2391)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O2392,"Unsp GU tract infection in pregnancy, second trimester (O2392)","Unsp GU tract infection in pregnancy, second trimester (O2392)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O2393,"Unsp GU tract infection in pregnancy, third trimester (O2393)","Unsp GU tract infection in pregnancy, third trimester (O2393)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O24011,"Pre-existing diabetes, type 1, in pregnancy, first trimester (O24011)","Pre-existing diabetes, type 1, in pregnancy, first trimester (O24011)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O24012,"Pre-exist diabetes, type 1, in pregnancy, second trimester (O24012)","Pre-exist diabetes, type 1, in pregnancy, second trimester (O24012)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O24013,"Pre-existing diabetes, type 1, in pregnancy, third trimester (O24013)","Pre-existing diabetes, type 1, in pregnancy, third trimester (O24013)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O24019,"Pre-existing diabetes, type 1, in pregnancy, unsp trimester (O24019)","Pre-existing diabetes, type 1, in pregnancy, unsp trimester (O24019)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O2402,"Pre-existing diabetes mellitus, type 1, in childbirth (O2402)","Pre-existing diabetes mellitus, type 1, in childbirth (O2402)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O2403,"Pre-existing diabetes mellitus, type 1, in the puerperium (O2403)","Pre-existing diabetes mellitus, type 1, in the puerperium (O2403)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O24111,"Pre-existing diabetes, type 2, in pregnancy, first trimester (O24111)","Pre-existing diabetes, type 2, in pregnancy, first trimester (O24111)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O24112,"Pre-exist diabetes, type 2, in pregnancy, second trimester (O24112)","Pre-exist diabetes, type 2, in pregnancy, second trimester (O24112)",,Diagnosis,N/A,,,,
