Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1090
,,ICD 10 - WHO:S3131XS,"Laceration w/o foreign body of scrotum and testes, sequela (S3131XS)","Laceration w/o foreign body of scrotum and testes, sequela (S3131XS)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3132XA,"Laceration w foreign body of scrotum and testes, init encntr (S3132XA)","Laceration w foreign body of scrotum and testes, init encntr (S3132XA)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3132XD,"Laceration w foreign body of scrotum and testes, subs encntr (S3132XD)","Laceration w foreign body of scrotum and testes, subs encntr (S3132XD)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3132XS,"Laceration with foreign body of scrotum and testes, sequela (S3132XS)","Laceration with foreign body of scrotum and testes, sequela (S3132XS)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3133XA,"Puncture wound w/o foreign body of scrotum and testes, init (S3133XA)","Puncture wound w/o foreign body of scrotum and testes, init (S3133XA)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3133XD,"Puncture wound w/o foreign body of scrotum and testes, subs (S3133XD)","Puncture wound w/o foreign body of scrotum and testes, subs (S3133XD)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3133XS,"Pnctr w/o foreign body of scrotum and testes, sequela (S3133XS)","Pnctr w/o foreign body of scrotum and testes, sequela (S3133XS)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3134XA,"Puncture wound w foreign body of scrotum and testes, init (S3134XA)","Puncture wound w foreign body of scrotum and testes, init (S3134XA)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3134XD,"Puncture wound w foreign body of scrotum and testes, subs (S3134XD)","Puncture wound w foreign body of scrotum and testes, subs (S3134XD)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3134XS,"Puncture wound w foreign body of scrotum and testes, sequela (S3134XS)","Puncture wound w foreign body of scrotum and testes, sequela (S3134XS)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3135XA,"Open bite of scrotum and testes, initial encounter (S3135XA)","Open bite of scrotum and testes, initial encounter (S3135XA)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3135XD,"Open bite of scrotum and testes, subsequent encounter (S3135XD)","Open bite of scrotum and testes, subsequent encounter (S3135XD)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S3135XS,"Open bite of scrotum and testes, sequela (S3135XS)","Open bite of scrotum and testes, sequela (S3135XS)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S31501A,"Unsp open wound of unsp external genital organs, male, init (S31501A)","Unsp open wound of unsp external genital organs, male, init (S31501A)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S31501D,"Unsp open wound of unsp external genital organs, male, subs (S31501D)","Unsp open wound of unsp external genital organs, male, subs (S31501D)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:S31501S,"Unsp opn wnd unsp external genital organs, male, sequela (S31501S)","Unsp opn wnd unsp external genital organs, male, sequela (S31501S)",,Diagnosis,N/A,,,,
