Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1100
,,ICD 10 - WHO:F14221,Cocaine dependence with intoxication delirium (F14221),Cocaine dependence with intoxication delirium (F14221),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14222,Cocaine dependence w intoxication w perceptual disturbance (F14222),Cocaine dependence w intoxication w perceptual disturbance (F14222),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14229,"Cocaine dependence with intoxication, unspecified (F14229)","Cocaine dependence with intoxication, unspecified (F14229)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F1423,Cocaine dependence with withdrawal (F1423),Cocaine dependence with withdrawal (F1423),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F1424,Cocaine dependence with cocaine-induced mood disorder (F1424),Cocaine dependence with cocaine-induced mood disorder (F1424),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14250,Cocaine depend w cocaine-induc psych disorder w delusions (F14250),Cocaine depend w cocaine-induc psych disorder w delusions (F14250),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14251,Cocaine depend w cocaine-induc psychotic disorder w hallucin (F14251),Cocaine depend w cocaine-induc psychotic disorder w hallucin (F14251),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14259,"Cocaine dependence w cocaine-induc psychotic disorder, unsp (F14259)","Cocaine dependence w cocaine-induc psychotic disorder, unsp (F14259)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14280,Cocaine dependence with cocaine-induced anxiety disorder (F14280),Cocaine dependence with cocaine-induced anxiety disorder (F14280),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14281,Cocaine dependence with cocaine-induced sexual dysfunction (F14281),Cocaine dependence with cocaine-induced sexual dysfunction (F14281),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14282,Cocaine dependence with cocaine-induced sleep disorder (F14282),Cocaine dependence with cocaine-induced sleep disorder (F14282),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14288,Cocaine dependence with other cocaine-induced disorder (F14288),Cocaine dependence with other cocaine-induced disorder (F14288),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F1429,Cocaine dependence with unspecified cocaine-induced disorder (F1429),Cocaine dependence with unspecified cocaine-induced disorder (F1429),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F1490,"Cocaine use, unspecified, uncomplicated (F1490)","Cocaine use, unspecified, uncomplicated (F1490)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14920,"Cocaine use, unspecified with intoxication, uncomplicated (F14920)","Cocaine use, unspecified with intoxication, uncomplicated (F14920)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14921,"Cocaine use, unspecified with intoxication delirium (F14921)","Cocaine use, unspecified with intoxication delirium (F14921)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14922,"Cocaine use, unsp w intoxication with perceptual disturbance (F14922)","Cocaine use, unsp w intoxication with perceptual disturbance (F14922)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14929,"Cocaine use, unspecified with intoxication, unspecified (F14929)","Cocaine use, unspecified with intoxication, unspecified (F14929)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F1494,"Cocaine use, unspecified with cocaine-induced mood disorder (F1494)","Cocaine use, unspecified with cocaine-induced mood disorder (F1494)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14950,"Cocaine use, unsp w cocaine-induc psych disorder w delusions (F14950)","Cocaine use, unsp w cocaine-induc psych disorder w delusions (F14950)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14951,"Cocaine use, unsp w cocaine-induc psych disorder w hallucin (F14951)","Cocaine use, unsp w cocaine-induc psych disorder w hallucin (F14951)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14959,"Cocaine use, unsp w cocaine-induced psychotic disorder, unsp (F14959)","Cocaine use, unsp w cocaine-induced psychotic disorder, unsp (F14959)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14980,"Cocaine use, unsp with cocaine-induced anxiety disorder (F14980)","Cocaine use, unsp with cocaine-induced anxiety disorder (F14980)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14981,"Cocaine use, unsp with cocaine-induced sexual dysfunction (F14981)","Cocaine use, unsp with cocaine-induced sexual dysfunction (F14981)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14982,"Cocaine use, unspecified with cocaine-induced sleep disorder (F14982)","Cocaine use, unspecified with cocaine-induced sleep disorder (F14982)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F14988,"Cocaine use, unspecified with other cocaine-induced disorder (F14988)","Cocaine use, unspecified with other cocaine-induced disorder (F14988)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F1499,"Cocaine use, unsp with unspecified cocaine-induced disorder (F1499)","Cocaine use, unsp with unspecified cocaine-induced disorder (F1499)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F1510,"Other stimulant abuse, uncomplicated (F1510)","Other stimulant abuse, uncomplicated (F1510)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F15120,"Other stimulant abuse with intoxication, uncomplicated (F15120)","Other stimulant abuse with intoxication, uncomplicated (F15120)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F15121,Other stimulant abuse with intoxication delirium (F15121),Other stimulant abuse with intoxication delirium (F15121),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F15122,Oth stimulant abuse w intoxication w perceptual disturbance (F15122),Oth stimulant abuse w intoxication w perceptual disturbance (F15122),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F15129,"Other stimulant abuse with intoxication, unspecified (F15129)","Other stimulant abuse with intoxication, unspecified (F15129)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F1514,Other stimulant abuse with stimulant-induced mood disorder (F1514),Other stimulant abuse with stimulant-induced mood disorder (F1514),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F15150,Oth stimulant abuse w stim-induce psych disorder w delusions (F15150),Oth stimulant abuse w stim-induce psych disorder w delusions (F15150),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F15151,Oth stimulant abuse w stim-induce psych disorder w hallucin (F15151),Oth stimulant abuse w stim-induce psych disorder w hallucin (F15151),,Diagnosis,N/A,,,,
