Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:5050
,,ICD 10 - WHO:O357XX0,"Maternal care for damage to fetus by oth medical proc, unsp (O357XX0)","Maternal care for damage to fetus by oth medical proc, unsp",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O357XX1,"Matern care for damage to fetus by oth medical proc, fetus 1 (O357XX1)","Matern care for damage to fetus by oth medical proc, fetus 1",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O357XX2,"Matern care for damage to fetus by oth medical proc, fetus 2 (O357XX2)","Matern care for damage to fetus by oth medical proc, fetus 2",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O357XX3,"Matern care for damage to fetus by oth medical proc, fetus 3 (O357XX3)","Matern care for damage to fetus by oth medical proc, fetus 3",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O357XX4,"Matern care for damage to fetus by oth medical proc, fetus 4 (O357XX4)","Matern care for damage to fetus by oth medical proc, fetus 4",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O357XX5,"Matern care for damage to fetus by oth medical proc, fetus 5 (O357XX5)","Matern care for damage to fetus by oth medical proc, fetus 5",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O357XX9,"Maternal care for damage to fetus by oth medical proc, oth (O357XX9)","Maternal care for damage to fetus by oth medical proc, oth",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O358XX0,"Maternal care for oth fetal abnormality and damage, unsp (O358XX0)","Maternal care for oth fetal abnormality and damage, unsp",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O358XX1,"Maternal care for oth fetal abnormality and damage, fetus 1 (O358XX1)","Maternal care for oth fetal abnormality and damage, fetus 1",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O358XX2,"Maternal care for oth fetal abnormality and damage, fetus 2 (O358XX2)","Maternal care for oth fetal abnormality and damage, fetus 2",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O358XX3,"Maternal care for oth fetal abnormality and damage, fetus 3 (O358XX3)","Maternal care for oth fetal abnormality and damage, fetus 3",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O358XX4,"Maternal care for oth fetal abnormality and damage, fetus 4 (O358XX4)","Maternal care for oth fetal abnormality and damage, fetus 4",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O358XX5,"Maternal care for oth fetal abnormality and damage, fetus 5 (O358XX5)","Maternal care for oth fetal abnormality and damage, fetus 5",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O358XX9,"Maternal care for oth fetal abnormality and damage, oth (O358XX9)","Maternal care for oth fetal abnormality and damage, oth",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O359XX0,"Maternal care for fetal abnormality and damage, unsp, unsp (O359XX0)","Maternal care for fetal abnormality and damage, unsp, unsp",,Diagnosis,N/A,,,,
