Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:5030
,,ICD 10 - WHO:P391,Neonatal conjunctivitis and dacryocystitis (P391),Neonatal conjunctivitis and dacryocystitis,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P392,"Intra-amniotic infection affecting newborn, NEC (P392)","Intra-amniotic infection affecting newborn, NEC",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P393,Neonatal urinary tract infection (P393),Neonatal urinary tract infection,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P394,Neonatal skin infection (P394),Neonatal skin infection,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P398,Other specified infections specific to the perinatal period (P398),Other specified infections specific to the perinatal period,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P399,"Infection specific to the perinatal period, unspecified (P399)","Infection specific to the perinatal period, unspecified",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P500,Newborn aff by uterin (fetal) blood loss from vasa previa (P500),Newborn aff by uterin (fetal) blood loss from vasa previa,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P501,Newborn aff by uterin (fetal) blood loss from ruptured cord (P501),Newborn aff by uterin (fetal) blood loss from ruptured cord,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P502,Newborn affected by uterin (fetal) blood loss from placenta (P502),Newborn affected by uterin (fetal) blood loss from placenta,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P503,Newborn affected by hemorrhage into co-twin (P503),Newborn affected by hemorrhage into co-twin,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P504,Newborn affected by hemorrhage into maternal circulation (P504),Newborn affected by hemorrhage into maternal circulation,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P505,NB aff by uterin blood loss from cut end of co-twin's cord (P505),NB aff by uterin blood loss from cut end of co-twin's cord,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P508,Newborn affected by other intrauterine (fetal) blood loss (P508),Newborn affected by other intrauterine (fetal) blood loss,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P509,"Newborn affected by intrauterine (fetal) blood loss, unsp (P509)","Newborn affected by intrauterine (fetal) blood loss, unsp",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P510,Massive umbilical hemorrhage of newborn (P510),Massive umbilical hemorrhage of newborn,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P518,Other umbilical hemorrhages of newborn (P518),Other umbilical hemorrhages of newborn,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:P519,"Umbilical hemorrhage of newborn, unspecified (P519)","Umbilical hemorrhage of newborn, unspecified",,Diagnosis,N/A,,,,
