Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:1060
,,ICD 10 - WHO:O4290,"Prem ROM, 7th0 betw rupt & onst labr, unsp weeks of gest (O4290)","Prem ROM, 7th0 betw rupt & onst labr, unsp weeks of gest (O4290)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O42911,"Pretrm prem ROM, unsp time betw rupt and onset labr, 1st tri (O42911)","Pretrm prem ROM, unsp time betw rupt and onset labr, 1st tri (O42911)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O42912,"Pretrm prem ROM, unsp time betw rupt and onset labr, 2nd tri (O42912)","Pretrm prem ROM, unsp time betw rupt and onset labr, 2nd tri (O42912)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O42913,"Pretrm prem ROM, unsp time betw rupt and onst labr, 3rd tri (O42913)","Pretrm prem ROM, unsp time betw rupt and onst labr, 3rd tri (O42913)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O42919,"Pretrm prem ROM, unsp time betw rupt and onst labr, unsp tri (O42919)","Pretrm prem ROM, unsp time betw rupt and onst labr, unsp tri (O42919)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O4292,"Full-term prem ROM, unsp time betw rupture and onset labor (O4292)","Full-term prem ROM, unsp time betw rupture and onset labor (O4292)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O43011,"Fetomaternal placental transfusion syndrome, first trimester (O43011)","Fetomaternal placental transfusion syndrome, first trimester (O43011)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O43012,"Fetomaternal placental transfuse syndrome, second trimester (O43012)","Fetomaternal placental transfuse syndrome, second trimester (O43012)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O43013,"Fetomaternal placental transfusion syndrome, third trimester (O43013)","Fetomaternal placental transfusion syndrome, third trimester (O43013)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O43019,"Fetomaternal placental transfusion syndrome, unsp trimester (O43019)","Fetomaternal placental transfusion syndrome, unsp trimester (O43019)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O43021,"Fetus-to-fetus placental transfuse syndrome, first trimester (O43021)","Fetus-to-fetus placental transfuse syndrome, first trimester (O43021)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O43022,"Fetus-to-fetus placntl transfuse syndrome, second trimester (O43022)","Fetus-to-fetus placntl transfuse syndrome, second trimester (O43022)",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:O43023,"Fetus-to-fetus placental transfuse syndrome, third trimester (O43023)","Fetus-to-fetus placental transfuse syndrome, third trimester (O43023)",,Diagnosis,N/A,,,,
